Model_Adi,Senaryo,Yanit_Suresi_Sn,Sistem_RAM_Farki_GB,Tuketilen_VRAM_GB,Zeka_Puani_10_Uzerinden,Verilen_Cevap
Qwen - Test1,Senaryo 1,5.68,0.08,1.59,0.87,"1. Nisan 2026'te, Ahmet Yılmaz müşteri hesap hareketleri dökümü sırasında Türkcell fatura ödemeleri ile MERSI HANİKAROLARI RİSKLI işlemi gerçekleşmiştir. Bu işlem, müşteri tarafından gizli bir şekilde gerçekleştirilerek yapılmıştır ve bu nedenle şüpheli olarak kabul edilir.

2. Nisan 2026'te, Ahmet Yılmaz müşteri hesap hareketleri dökümü sırasında HGS YÜKLEME ile MERSİ HANİKAROLARI RİSKLI işlemi gerçekleşmiştir. Bu işlem, müşteri tarafından gizli bir şekilde gerçekleştirilerek yapılmıştır ve bu nedenle şüpheli olarak kabul edilir.

3. Nisan 2026'te, Ahmet Yılmaz müşteri hesap hareketleri dökümü sırasında FAST Transfer ile MERSİ HANİKAROLARI RİSKLI işlemi gerçekleşmiştir. Bu işlem, müşteri tarafından gizli bir şekilde gerçekleştirilerek yapılmıştır ve bu nedenle şüpheli olarak kabul edilir."
Qwen - Test1,Senaryo 2,2.3,-0.32,1.59,7.96,"```json
[
    {
        ""Musteri_Adi"": ""Elif Yılmaz"",
        ""Talep_Edilen_Tutar"": 200000,
        ""Aylik_Net_Gelir"": 58000
    },
    {
        ""Musteri_Adi"": ""Kemal Demir"",
        ""Talep_Edilen_Tutar"": 900000,
        ""Aylik_Net_Gelir"": 1440000 / 12 = 120000
    },
    {
        ""Musteri_Adi"": ""Zeynep Çelik"",
        ""Talep_Edilen_Tutar"": 450000,
        ""Aylik_Net_Gelir"": (60000 + 12000) / 7 = 14285.71
    }
]
```"
Qwen - Test1,Senaryo 3,2.23,0.03,1.59,1.99,"Bu yazımalar, aşağıdaki noktalara bakılır:

1. Mail 1: Verilere erişim şifresi (VIP_Liste_Nisan.pdf) bulunuyor ancak bir bilgisayar üzerinde çalışmak için gereken şifre bulunmamaktadır. Bu durumda risk var.

2. Mail 2: KVKK ve Gizlilik Politikası güncellenmesinde, sadece en üst düzey şifreleme algoritmalarını kullanmaktan bahsediyor. Bu durumda risk yok.

3. Mail 3: SMS gönderim listesi için müşteri listesinin bir bölümünü içeriyor ancak verilere erişim şifresi bulunmamaktadır. Bu durumda risk var.

Toplam risk: 2 / 3

Bu durumlardan sonradan, daha detaylı ve teknik olarak anlama için dikkat etmek gerekir."
Qwen - Test2,Senaryo 1,2.42,-0.01,1.59,1.27,"Yükarıdaki hesap hareketleri dökümünün içine gizlenmiş 3 farklı şüpheli/risksız işlemler bulmak başarılı olmaz:

1. **Fatura Ödeme (İSKİ) - 340,00 TL**  
   Bu işlem gizli bir şekilde bırakılmıştır ve açıkça bir neden yoktur.

2. **HGS Yükleme - 500,00 TL**  
   Ancak, bu işlemi bilinen bir neden bulunmamaktadır.

3. **Fiziksel ATM Çekim - Muratpaşa/Antalya - 10.000,00 TL**  
   Bu işlem gizli bir şekilde bırakılmıştır ve açıkça bir neden bulunmamaktadır.

Bu işlemlerin gizlilik durumunu belirleyen bilgi yoktur, bu nedenle dökmek zor olabilir."
Qwen - Test2,Senaryo 2,2.77,0.04,1.59,7.32,"```json
[
    {
        ""Musteri_Adi"": ""Elif Yılmaz"",
        ""Talep_Edilen_Tutar"": 200000,
        ""Aylik_Net_Gelir"": 58000
    },
    {
        ""Musteri_Adi"": ""Kemal Demir"",
        ""Talep_Edilen_Tutar"": 900000,
        ""Aylik_Net_Gelir"": 1440000 / 12
    },
    {
        ""Musteri_Adi"": ""Zeynep Çelik"",
        ""Talep_Edilen_Tutar"": 450000,
        ""Aylik_Net_Gelir"": 60000 + (60000 / 12)
    }
]
```"
Qwen - Test2,Senaryo 3,2.68,0.08,1.59,1.08,"GÖR:
1. Maile 1, adreslerin güvenliği: Adresin güvenli.
   Birçok bilgi verirken, güvenilmez bir güvenlik riski yoktur.

2. Maile 2, KVKK veya Gizlilik Politikası ihlalı: KVKK ihlali
   Kredi müşteri listesi ve bilgileri kaybedebilir (KVKK) için en üst düzey şifreleme algoritmalarını kullanmaktadır.

3. Maile 3, SMS gönderim ismi ihlalı: Kimlik Numarası ihlali
   İsimlerin güvenliği, fakat bilgileri kaybedebilir (Kredi Kartı Bahar Kampanyası Hedef Kitle.xlsx) için en üst düzey şifreleme algoritmalarını kullanmaktadır."
Qwen - Test3,Senaryo 1,5.88,0.04,1.59,1.82,"Gizli işlerin ne olduğu, ne olduğuna dair ayrıntısal bilgi yoktur. Ancak, verilere göre, 3 farklı ŞÜPHELİ/RİSKLİ işlemi bulunmaktadır:

1. 06.04.2026 02:10 - FAST Transfer (Alıcı: Paribu TR) - 4.999,00 TL
   Bu iş, Türkiye'nin bir diğer bölgesinin bir para hesapını veya bankanın başka bir alıcının para çekmesini içeriyor. İşin riskli olduğunu, işi etkileyen farklı ülkelerdeki para hesapları ve bankalar tarafından gizlendirildiği için bilgilerin açıklandırmak için zor olabileceğini söylüyor.

2. 07.04.2026 16:45 - POS Harcaması - Zara - 3.100,00 TL
   Bu iş, bir para hesapının (Zara) ve başka bir alıcının para çekmesini içeriyor. İşin riskli olduğunu, farklı ülkelerdeki para hesapları ve bankalar tarafından gizlendirildiği için bilgileri açıklanmamış olabilir.

3. 09.04.2026 11:45 - Kredi Kartı Borç Ödeme - 25.000,00 TL
   Bu iş, bir kredikartın borçunu bir alıcının ödeme yapmasını içeriyor. İşin riskli olduğunu, farklı ülkelerdeki para hesapları ve bankalar tarafından gizlendirildiği için bilgileri açıklanmamış olabilir.

Bu işlemlerin riskli olması nedeni, bu tür işlemler için gizlilik protokolü mevcut olduğundan, genellikle müşteri bilgilerinin açıklanması zor olan durumlardır."
Qwen - Test3,Senaryo 2,2.63,0.02,1.59,8.39,"```json
[
    {
        ""Musteri_Adi"": ""Elif Yılmaz"",
        ""Talep_Edilen_Tutar"": 200000,
        ""Aylik_Net_Gelir"": 58000
    },
    {
        ""Musteri_Adi"": ""Kemal Demir"",
        ""Talep_Edilen_Tutar"": 900000,
        ""Aylik_Net_Gelir"": 144000
    },
    {
        ""Musteri_Adi"": ""Zeynep Çelik"",
        ""Talep_Edilen_Tutar"": 450000,
        ""Aylik_Net_Gelir"": 60000
    }
]
```"
Qwen - Test3,Senaryo 3,3.38,0.02,1.59,2.62,"Bu 3 e-posta logları, siber güvenlik ve KVKK ile ilgili bir risk edinir:

1. Mailler 1 ve 2: Bu e-poçtaların içeriği gizli bir konuda (VIP Müşteri Mevduat Bakiyeleri ve Risk Raporu) ve kişisel verilerin korunması konusunda bilgileri aktarılıyor. Bu durum, KVKK kapsamında kişinin yetkisiz erişimlerini korurken, siber güvenlik açısından risk eder.

2. Mailler 3: Yukarıdaki maillerin içeriği gizli bir konuda (Kredi Kartı Bahar Kampanyası Hedef Kitle) ve müşteri bilgileri ile ilgili olarak aktarılıyor. Bu durum da siber güvenlik açısından risk eder.

İhlal OLAN e-poçtalar:
1. Mailler 1 ve 2
   - Risk: İhtiyac verilen kişisel verilerin erişimi korunurken, yetkisiz erişimlerle karşılaşılan bilgileri aktarmaya çalışan siber güvenlik riski.
   
İhlal YOKSA neden:
1. Mailler 3
   - Risk: Veri sızıntısı ihlali/riski olmaksızın, müşteri bilgileri ile ilgili olarak aktarım yapılamayacak çünkü bu bilgiler gizlidir ve en üst düzey şifreleme algoritmalarını kullanmaktadır."
Phi 3 - Test1,Senaryo 1,7.27,0.05,3.84,0.18,"Görev: Hesap harcama bile tüm hareketlere saklanan tabloya gönül su altında daha uzay olan ve değil, bu konuda yanıt veriyor olmasına neden var?
"
